"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower","Eigenval"
"Impatiens noli-tangere","Ericales","Balsaminaceae","Impatiens","Impatiens noli-tangere","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",15,13,13,25,1,7.8,"herb","Short lived",1,"yes",7.11,725900,0.00483341832327041
"Impatiens pallida","Ericales","Balsaminaceae","Impatiens","Impatiens pallida","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","zygomorphic",15,30,30,28,1,137.5,"herb","Short lived",1.35,"yes",2.4,725900,0.00485153225218895
"Impatiens textori","Ericales","Balsaminaceae","Impatiens","Impatiens textori","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,15,15,45,1,94,"herb","Short lived",0.85,"yes",1,725900,0.00489424865677617
"Ipomoea habeliana","Solanales","Convolvulaceae","Ipomoea","Ipomoea habeliana","Hermaphrodite","self_compatible","medium",51,"Funnelform","actinomorphic",15,45,45,60,25,6,"vine","Perennial",4.5,"yes",146.9,8442,0.00636944444451865
"Ipomoea indica","Solanales","Convolvulaceae","Ipomoea","Ipomoea indica","Hermaphrodite","self_compatible","none",0,"Funnelform","actinomorphic",25,62.5,62.5,62.5,14,6,"vine","Perennial",3,"yes",9.33,5322,0.0065051897580021
"Ipomoea linearifolia","Solanales","Convolvulaceae","Ipomoea","Ipomoea linearifolia","Hermaphrodite","self_compatible","low",14.8387,"Campanulate","actinomorphic",5,45,45,45,25,6,"vine","Perennial",0.1,"yes",22.8002416666667,4552,0.00631094188048345
"Ipomoea macrantha","Solanales","Convolvulaceae","Ipomoea","Ipomoea macrantha","Hermaphrodite","self_compatible","low",13.834,"Tube","actinomorphic",5,80,80,70,32.5,6,"vine","Perennial",2,"yes",18.57229,4552,0.00623524469295384
"Ipomoea hederacea","Solanales","Convolvulaceae","Ipomoea","Ipomoea nil","Hermaphrodite","self_compatible","medium",58,"Campanulate","actinomorphic",10,22.5,22.5,18.1,20,6,"vine","Short lived",3.5,"yes",12.5084345833333,906,0.0064720011128501
"Ipomoea pandurata","Solanales","Convolvulaceae","Ipomoea","Ipomoea pandurata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,85,85,65,15,6,"vine","Perennial",2.5,"yes",1.35,4552,0.00619804834366589
"Ipomoea pes-caprae","Solanales","Convolvulaceae","Ipomoea","Ipomoea pes-caprae","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,95,95,45,15,6,"vine","Perennial",5,"yes",5.2,8112,0.00618959472778718
"Ipomoea purpurea","Solanales","Convolvulaceae","Ipomoea","Ipomoea purpurea","Hermaphrodite","self_compatible","high",31.67,"Campanulate","actinomorphic",15,50,50,37.5,28,6,"herb","Short lived",2,"yes",2.42,756,0.00644647630346144
"Belamcanda chinensis","Asparagales","Iridaceae","Iris","Iris domestica","Hermaphrodite","partially_self_compatible","low",15.8,"Open","actinomorphic",60,120,45,19.7406666666667,14,24,"herb","Perennial",1,"yes",0.96,21950,0.000214198643698169
"Iris hexagona","Asparagales","Iridaceae","Iris","Iris hexagona","Hermaphrodite","self_compatible","low",20.1664833333333,"Open","actinomorphic",3,110,110,110,42.5,114,"herb","Perennial",1.05,"yes",11.330025,21950,0.000216090818072696
"Iris ruthenica","Asparagales","Iridaceae","Iris","Iris ruthenica","Hermaphrodite","self_compatible","low",16.8710833333333,"Open","actinomorphic",1,42.5,42.5,17,37.5,88.5,"herb","Perennial",0.11,"yes",6.89705,21950,0.000207661102129388
"Iris versicolor","Asparagales","Iridaceae","Iris","Iris versicolor","Hermaphrodite","self_compatible","low",21,"Open","actinomorphic",1,70,70,40,32.5,127.5,"herb","Perennial",0.5,"yes",2.5,21950,0.000208522477191489
"Ixeridium biparum","Asterales","Asteraceae","Ixeridium","Ixeridium biparum","Hermaphrodite","self_compatible","low",22.0668,"Capitulum","actinomorphic",30,15,13.683475,5.7745,5,20,"herb","Short lived",0.275,"yes",0.65283,70360,0.0446258239574875
"Myonima violacea","Gentianales","Rubiaceae","Ixora","Ixora parviflora","Hermaphrodite","partially_self_compatible","low",8.242225,"Tube","actinomorphic",6000,50,10,5.5,8.5,3,"tree","Perennial",5,"no",0,136064.95375,0.00767112393331978
"Jasminocereus thouarsii","Caryophyllales","Cactaceae","Jasminocereus","Jasminocereus thouarsii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",30,70,70,10,10,325,"shrub","Perennial",5,"yes",0.58,4375662.17,0.00434289917773021
"Juncus allioides","Poales","Juncaceae","Juncus","Juncus allioides","Hermaphrodite","self_compatible","high",100,"Brush","actinomorphic",5,17.5,6.5,17.5,2,51.3,"herb","Perennial",0.24,"no",0,341096.498905,0.000187089326534108
"Glandularia_crithmifolia","Lamiales","Verbenaceae","Junellia","Junellia crithmifolia","Hermaphrodite","self_compatible","low",12.48485,"Tube","actinomorphic",900,50,10,14,12.6,4,"herb","Perennial",0.7,"yes",1.5482325,8396,0.011495903706158
"Kalmia polifolia","Ericales","Ericaceae","Kalmia","Kalmia polifolia","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,40,10,7,5.75,550,"shrub","Perennial",0.8,"yes",0.51,233355.936155,0.00617445676998039
"Kandetia candel","Malpighiales","Rhizophoraceae","Kandelia","Kandelia candel","Hermaphrodite","self_compatible","none",0,"Brush","actinomorphic",100,40,17.5,4,10.5,6,"tree","Perennial",8,"yes",6.09739265,659000,0.00172676375922259
"Labourdonnaisia callophylloides","Ericales","Sapotaceae","Labourdonnaisia","Labourdonnaisia calophylloides","Hermaphrodite","self_compatible","low",12.0344571428571,"Open","actinomorphic",1000,9,9,9,9.5,5.1,"tree","Perennial",10.5,"yes",9.9,151829.543333333,0.00505826644890831
"Lagerstroemia subcostata","Myrtales","Lythraceae","Lagerstroemia","Lagerstroemia subcostata","Hermaphrodite","partially_self_compatible","low",9.78811666666667,"Campanulate","actinomorphic",30000,160,3.1,3.1,4,30,"tree","Perennial",7,"no",0,646520.795921429,0.000746665564097154
"Lamium amplexicaule","Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,6.75,4.5,17.5,18,4,"herb","Short lived",0.2,"yes",0.09,2069,0.0147054635564859
"Lantana peducularis","Lamiales","Verbenaceae","Lantana","Lantana peduncularis","Hermaphrodite","self_compatible","low",0.3,"Funnelform","zygomorphic",120,30,4,3.5,2.2,4,"shrub","Perennial",1.25,"yes",0.8,163231.072,0.0115012028822332
"Larrea divaricata","Zygophyllales","Zygophyllaceae","Larrea","Larrea divaricata","Hermaphrodite","partially_self_compatible","low",10,"Open","actinomorphic",1000,10,10,10,5,20.6,"shrub","Perennial",2,"yes",2.244885,351918,0.0015233829978654
"Lathirus clymenum","Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,18,18,18,8,7,"herb","Short lived",0.65,"yes",2.049,16050,0.00314479509920921
"Lathyrus montanus","Fabales","Fabaceae","Lathyrus","Lathyrus linifolius","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15,22,11,13,4,9.36,"herb","Perennial",0.325,"yes",0.69,281000,0.00314526157392672
"Lavandula pedunculata","Lamiales","Lamiaceae","Lavandula","Lavandula pedunculata","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",3000,12,5,5.5,5.5,4,"shrub","Perennial",0.445,"yes",0.07,3396,0.0148859089540268
"Lavandula stoechas","Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",4000,25,7,6.5,5.5,4,"shrub","Perennial",0.75,"yes",0.07,3396,0.0149316767751243
"Lecanophora heterophylla","Malvales","Malvaceae","Lecanophora","Lecanophora heterophylla","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,30,30,15,0.5,1430.32125,"herb","Perennial",0.15,"no",0,1626428.31073077,0.00133589818312353
"Leonurus cardiaca","Lamiales","Lamiaceae","Leonurus","Leonurus cardiaca","Hermaphrodite","self_compatible","medium",100,"Tube","zygomorphic",75,45,5.34,9.17,8.4,4,"herb","Perennial",0.75,"yes",1.8203425,29329,0.014624246209697
"Lepidium virginicum","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",1000,25,3,1.5,0.15,2,"herb","Short lived",0.4,"yes",0.7127403,1232,0.00138281808670306
"Cotula pyrethrifolia","Asterales","Asteraceae","Leptinella","Leptinella pyrethrifolia","Dioecious","partially_self_compatible","low",15.59145,"Capitulum","actinomorphic",100,10,10,5,3,203.75,"herb","Perennial",0.07,"yes",3.039585,140000,0.0607102146890952
"Leptorhynchos squamatus","Asterales","Asteraceae","Leptorhynchos","Leptorhynchos squamatus","Hermaphrodite","self_compatible","low",17.90495,"Capitulum","actinomorphic",15,11,11,11.5,2.5,11.5,"herb","Perennial",0.5,"yes",1.809365,154400,0.0883156731651526
"Lespedeza capitata","Fabales","Fabaceae","Lespedeza","Lespedeza capitata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",100,30,5.1,4.9,2,1,"herb","Perennial",1.05,"yes",1.14,13772.69185,0.00292499949688614
"Leucaena leucocephala","Fabales","Fabaceae","Leucaena","Leucaena leucocephala","Hermaphrodite","partially_self_compatible","low",11.5585166666667,"Brush","actinomorphic",7000,21,1,1,8.5,1,"shrub","Perennial",6,"no",0,441230.589438333,0.00268020912600253
"Ligustrum joponicum","Lamiales","Oleaceae","Ligustrum","Ligustrum japonicum","Hermaphrodite","partially_self_compatible","low",8.968275,"Tube","actinomorphic",30000,40,4,6,6,4,"shrub","Perennial",3,"yes",1.07,65671.145434,0.0101585198026524
"Linaria viscosa","Lamiales","Plantaginaceae","Linaria","Linaria viscosa","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",35,35,7,25,4.5,188.8,"herb","Short lived",0.35,"yes",0.75,207080,0.0105883911034627
"Lindera obtusiloba","Laurales","Lauraceae","Lindera","Lindera obtusiloba","Dioecious","dioecious","none",0,"Open","actinomorphic",10000,30,6.5,2,1,1,"tree","Perennial",6.5,"yes",1.8781428,69216,1.19834142247979e-05
"Lindera umbellata","Laurales","Lauraceae","Lindera","Lindera umbellata","Dioecious","dioecious","none",0,"Open","actinomorphic",10000,30,6,3,1,1,"shrub","Perennial",1.5,"yes",1.7107665,69216,9.30323265477436e-06
"Liparis liliifolia","Asparagales","Orchidaceae","Liparis","Liparis liliifolia","Hermaphrodite","self_incompatible","low",13,"Open","zygomorphic",25,35,8,10,3.5,25000,"herb","Perennial",0.17,"no",0,548070.528515,0.000263699457034072
"Litsea citriodora","Laurales","Lauraceae","Litsea","Litsea cubeba","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,50,3.1,2,0.3,1,"shrub","Perennial",6.5,"yes",2.03807295,16216,2.50244871332324e-05
"Lobelia cardinalis","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,90,14.1,27.5,27.5,740,"herb","Perennial",0.9,"yes",14.252365,34553,0.0244653719140317
"Lobelia cardinalis x siphilitica","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis x siphilitica","Hermaphrodite","self_compatible","low",16.335775,"Tube","zygomorphic",20,60,30,20,20,530,"herb","Short lived",0.75,"yes",4.421635,34553,0.0237877015345905
"Lobelia inflata","Asterales","Campanulaceae","Lobelia","Lobelia inflata","Hermaphrodite","self_compatible","low",16.4932,"Tube","zygomorphic",15,35,7,9,4.5,740,"herb","Short lived",0.45,"yes",4.6243975,34553,0.023167859638411
"Pratia macrodon","Asterales","Campanulaceae","Lobelia","Lobelia macrodon","Hermaphrodite","self_compatible","low",13.57625,"Tube","zygomorphic",5,17.5,17.5,12.5,1.75,627,"herb","Perennial",0.7,"yes",5.316215,34553,0.0208140791365994
"Lobelia siphilitica","Asterales","Campanulaceae","Lobelia","Lobelia siphilitica","Dioecious","self_compatible","low",13.5726,"Campanulate","zygomorphic",25,30,8,12,5.1,500,"herb","Perennial",1,"yes",6.00333624999999,34553,0.024028430472725
"Lobelia leptostachys","Asterales","Campanulaceae","Lobelia","Lobelia spicata","Dioecious","partially_self_compatible","low",13,"Tube","zygomorphic",50,30,15,10,5,627,"herb","Perennial",0.5,"yes",3.74817083333333,34553,0.0206991657355961
"Alyssum maritimum","Brassicales","Brassicaceae","Lobularia","Lobularia maritima","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",750,20,4,3.52773333333333,0.45,2,"herb","Perennial",0.25,"yes",0.95847105,18000,0.00138182570773487
"Lonicera gracilipes","Dipsacales","Caprifoliaceae","Lonicera","Lonicera gracilipes","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,7.7,7.7,11.3,15,23,"shrub","Perennial",1.5,"yes",0.12,153168.40875,0.0168097407627355
"Lonicera sempervirens","Dipsacales","Caprifoliaceae","Lonicera","Lonicera sempervirens","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",600,70,1.1,35,3.2,23,"vine","Perennial",3,"yes",12,2456032.9481,0.0166087073859631
"Lotus corniculatus","Fabales","Fabaceae","Lotus","Lotus corniculatus","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",35,30,11,11,5,35,"herb","Perennial",0.55,"yes",0.23,198500,0.0030811804730763
"Lotus uliginosus","Fabales","Fabaceae","Lotus","Lotus pedunculatus","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",60,60,15,12,8,49,"herb","Perennial",0.575,"yes",0.33,420959,0.00307729034804567
"Lupinus angustifolius","Fabales","Fabaceae","Lupinus","Lupinus angustifolius","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",25,35,12.5,12.5,15.2,4,"herb","Short lived",0.45,"no",0,22018,0.00283072407704442
"Lupinus polyphyllus","Fabales","Fabaceae","Lupinus","Lupinus polyphyllus","Hermaphrodite","self_compatible","low",13.65615,"Papilionaceous","zygomorphic",40,65,12.1,13,10.5,7,"herb","Perennial",1,"no",0,19488,0.00284455844656466
"Lycium chilense","Solanales","Solanaceae","Lycium","Lycium chilense","Hermaphrodite","partially_self_compatible","low",12.9624571428571,"Campanulate","actinomorphic",1000,10,10,6.25,8,33,"shrub","Perennial",0.5,"yes",6,47200,0.00660703140008592
"Lycium_gilliesianum","Solanales","Solanaceae","Lycium","Lycium gilliesianum","Hermaphrodite","partially_self_compatible","low",14.44345,"Tube","actinomorphic",1000,3,3,12.5,12.8,33,"shrub","Perennial",0.9,"yes",9,50000,0.00659128856661627
"Lycium_tenuispinosum","Solanales","Solanaceae","Lycium","Lycium tenuispinosum","Hermaphrodite","partially_self_compatible","low",12.6265404761905,"Campanulate","actinomorphic",1000,10,10,6,12,33,"shrub","Perennial",1.5,"yes",4.87351666666667,41000,0.00668702015438735
"Lycopersicon cheesmanii minor","Solanales","Solanaceae","Lycopersicon","Lycopersicon cheesmanii","Hermaphrodite","self_compatible","low",12.9948,"Open","actinomorphic",20,80,22.1,2,5.5,45,"herb","Perennial",1,"no",0,438887,0.0068755810093788
"Lycopus americanus","Lamiales","Lamiaceae","Lycopus","Lycopus americanus","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",60,15,2,2.5,4.5,4,"herb","Perennial",2.15,"yes",0.70723015,1588,0.0156022711169031
"Trientalis europaea","Ericales","Primulaceae","Trientalis","Lysimachea europaea","Hermaphrodite","self_compatible","low",15.64975,"Open","actinomorphic",5,13.1,13.1,1.1,5,19,"herb","Perennial",0.12,"no",0,26932,0.00549871621426721
"Steironema ciliatum","Ericales","Primulaceae","Lysimachia","Lysimachia ciliata","Hermaphrodite","self_compatible","low",15.39375,"Open","actinomorphic",15,75,25,5.1,5,30,"herb","Perennial",0.4,"no",0,26932,0.00551787360890979
"Steironema lanceolatum","Ericales","Primulaceae","Lysimachia","Lysimachia lanceolatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,19.1,19.1,31.12,5,30,"herb","Perennial",0.55,"no",0,26932,0.00552835548841551
"Lysimachia mauiriana","Ericales","Primulaceae","Lysimachia","Lysimachia mauritiana","Hermaphrodite","self_compatible","low",19.4696,"Campanulate","actinomorphic",100,40,10.1,4,5,30,"herb","Short lived",0.3,"no",0,26932,0.00563907760561954
"Lysimachia vulgaris","Ericales","Primulaceae","Lysimachia","Lysimachia vulgaris","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,70,17.5,9.5,4.5,30,"herb","Perennial",0.9,"yes",1.63194,26932,0.00552835548841551
"Lythrum salicaria","Myrtales","Lythraceae","Lythrum","Lythrum salicaria","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",75,45,15,8.5,7,107,"herb","Perennial",1.25,"yes",2.448425,30990,0.00076437159730051
"Macairea pachyphylla","Myrtales","Melastomataceae","Macairea","Macairea pachyphylla","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",700,70,15,10,4,49.07,"tree","Perennial",6,"no",0,551277.686309524,0.000989593595209995
"Macairea parvifolia","Myrtales","Melastomataceae","Macairea","Macairea parvifolia","Hermaphrodite","partially_self_compatible","low",3.7,"Open","actinomorphic",700,40,16.5,10,4,49.07,"shrub","Perennial",1.6,"no",0,413239.20197619,0.000951676608657788
"Mallotus japonicus","Malpighiales","Euphorbiaceae","Mallotus","Mallotus japonicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",24000,40,4.1,5,4,4,"shrub","Perennial",3,"yes",0.27,474308.73,0.00157102342254449
"Lavatera cretica","Malvales","Malvaceae","Malva","Malva multiflora","Hermaphrodite","self_compatible","low",19.0641,"Open","actinomorphic",20,100,40,7,7,9,"herb","Short lived",0.8,"yes",2.62,8190,0.00135560141841659
"Malva rotundifolia","Malvales","Malvaceae","Malva","Malva pusilla","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,40,11,3.1,3,11,"herb","Short lived",0.35,"yes",2.62,682,0.00135653230101659
"Malvastrum coromandelianum","Malvales","Malvaceae","Malvastrum","Malvastrum coromandelianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,17,17,5,4,11,"herb","Short lived",0.4,"no",0,41736.128405,0.00134998909171866
"Marcetia taxifolia","Myrtales","Melastomataceae","Marcetia","Marcetia taxifolia","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",75,25,3.2,2,9.4,118.45,"herb","Perennial",1.575,"no",0,306296.479183333,0.00099535796941316
"Marrubium vulgare","Lamiales","Lamiaceae","Marrubium","Marrubium vulgare","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",85,30,4.9,2.3,0.7,1.1,"herb","Perennial",0.6,"no",0,18205.24775,0.0141906724620135
"Maytenus octogona","Celastrales","Celastraceae","Maytenus","Maytenus octogona","Hermaphrodite","self_compatible","low",9.2653,"Open","actinomorphic",1000,20,3.5,3,1,5,"shrub","Perennial",4.05,"yes",0.22,59318.257,0.00152957701220954
"Medusagyne oppositifolia","Theales","Ochnaceae","Medusagyne","Medusagyne oppositifolia","Monoecious","partially_self_compatible","low",10,"Brush","actinomorphic",1800,20,4,4,2.5,2,"tree","Perennial",9,"no",0,443638.27525,0.00157102342254448
"Melampyrum pratense","Lamiales","Orobanchaceae","Melampyrum","Melampyrum pratense","Hermaphrodite","self_compatible","low",25,"Tube","zygomorphic",5,15,5,15,15,4,"herb","Short lived",0.25,"yes",0.1,31550.9371,0.0119677945594567
"Melastoma candidum","Myrtales","Melastomataceae","Melastoma","Melastoma malabathricum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",75,180,60,15,25,2172.9,"shrub","Perennial",1,"no",0,2055077.85666667,0.00100347616334814
"Euodia chapelieri","Sapindales","Rutaceae","Melicope","Melicope chapelieri","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,3,0.5,0.5,8,"tree","Perennial",15,"no",0,333438.055321429,0.00115169119950611
"Euodia obtusifolia","Sapindales","Rutaceae","Melicope","Melicope lunu-ankenda","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,3,0.5,0.5,8,"tree","Perennial",15,"no",0,335718.865321429,0.00118462331161516
"Melilotus alba","Fabales","Fabaceae","Melilotus","Melilotus alba","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",60,15,3,4.5,2,5,"herb","Short lived",1.5,"yes",0.03,4292.2,0.00319344754334794
"Meliosma tenuis","Proteales","Sabiaceae","Meliosma","Meliosma tenuis","Hermaphrodite","self_incompatible","low",1.8,"Open","actinomorphic",2500,50,5,2,0.5,9.9,"tree","Perennial",2.5,"yes",0.23,149894.581504762,0.000614798606222117
"Melochia pyramidata","Malvales","Malvaceae","Melochia","Melochia pyramidata","Hermaphrodite","self_compatible","medium",62.7,"Tube","actinomorphic",25,15,5.3,6.5,3.1,5.5,"herb","Perennial",0.6,"no",0,742.55,0.00126738093705443
"Melochia villosa","Malvales","Malvaceae","Melochia","Melochia villosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,20,6.7,7.7,6,9,"herb","Perennial",1.15,"yes",1.80543,1260,0.00125666455890856
"Memecylon elaeagni","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",5.067375,"Open","actinomorphic",6143.39,30,6,3,4.5,7,"shrub","Perennial",7.5,"no",0,298619.728571429,0.000932719719096443
"Memecylon ovatifolium","Myrtales","Melastomataceae","Memecylon","Memecylon ovatifolium","Hermaphrodite","self_compatible","low",12.03685,"Open","actinomorphic",415.798333333333,10,4.1,2.871075,0.5,10,"shrub","Perennial",1.1,"no",0,112591.458671429,0.000933692901240169
"Mentha aquatica","Lamiales","Lamiaceae","Mentha","Mentha aquatica","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",100,20,2.5,5,9,4,"herb","Perennial",0.85,"yes",0.1,39062.8230166667,0.0161789754925905
"Mentha arvensis","Lamiales","Lamiaceae","Mentha","Mentha arvensis","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",80,30,3.4,5.5,6.25,4,"herb","Perennial",0.5,"yes",0.45,8169.61900000001,0.0160846672832487
"Mentzelia_albescens","Cornales","Loasaceae","Mentzelia","Mentzelia albescens","Hermaphrodite","self_compatible","medium",52.8825666666667,"Campanulate","actinomorphic",20,7.45,7.45,1.65,6.25,4,"herb","Short lived",0.5,"no",0,64351.453905,0.00461247753500155
"Mentzelia aspera","Cornales","Loasaceae","Mentzelia","Mentzelia aspera","Hermaphrodite","self_compatible","low",19.6066,"Open","actinomorphic",50,15,15,5,5,6,"herb","Short lived",0.5,"no",0,53649.0105416667,0.00459958043961547
"Miconia ciliata","Myrtales","Melastomataceae","Miconia","Miconia ciliata","Hermaphrodite","self_incompatible","low",0,"Open","actinomorphic",75,50,5,2,1.25,104.39,"shrub","Perennial",4,"no",0,467500,0.00100394033238603
"Microula sikkimensis","Boraginales","Boraginaceae","Microula","Microula sikkimensis","Hermaphrodite","self_compatible","low",18.5137,"Tube","actinomorphic",30,18,6,6,3,4,"herb","Short lived",0.355,"yes",1.29574515,216420,0.00980511271144815
"Mimosa camporum","Fabales","Fabaceae","Mimosa","Mimosa camporum","Hermaphrodite","self_compatible","low",7.47,"Brush","actinomorphic",500,50,50,29.1,7.5,6.5,"herb","Short lived",0.35,"yes",5.268973,31840,0.00268857163876283
"Mimusops erythroxylon","Ericales","Sapotaceae","Mimusops","Mimusops erythroxylon","Hermaphrodite","partially_self_compatible","low",7.49875,"Open","actinomorphic",5508.69166666667,40,15,10,5,7,"tree","Perennial",16,"no",0,205752.83675,0.00496828867716665
"Mirabilis jalapa","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis jalapa","Hermaphrodite","self_compatible","medium",57,"Tube","actinomorphic",50,35,35,45,37.5,1,"herb","Perennial",0.5,"yes",2.62,382.4,0.00427638762619669
"Oxybaphus_obatus","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis ovata","Hermaphrodite","self_compatible","low",15.9502,"Campanulate","actinomorphic",50,20,10,10,18,1,"herb","Perennial",0.5,"yes",2.14,176313.39175,0.00417059699781451
"Molinaea alternifolia","Sapindales","Sapindaceae","Molinaea","Molinaea arborea","Monoecious","monoecious","none",0,"Open","actinomorphic",10185.95625,40,5.5,5.5,0.5,3,"tree","Perennial",10,"yes",0.9,168755.889833333,0.00106147807432944
"Molinaea macrantha","Sapindales","Sapindaceae","Molinaea","Molinaea macrantha","Monoecious","monoecious","none",0,"Open","actinomorphic",500,40,5.5,5.5,0.5,3,"shrub","Perennial",10,"yes",2.1,168384.985333333,0.00106199182420025
"Mollugo verticillata","Caryophyllales","Molluginaceae","Mollugo","Mollugo verticillata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,20,4.5,1.5,0.4,30,"herb","Short lived",0.15,"yes",1.26013285714286,1167,0.00434289917773022
"Montricharida arborescens","Alismatales","Araceae","Montrichardia","Montrichardia arborescens","Monoecious","monoecious","low",13,"Spike","zygomorphic",60,14.1,1,1,0.1,1,"shrub","Perennial",2.25,"no",0,19445.8,5.33384065592186e-05
"Monttea_aphylla","Lamiales","Plantaginaceae","Monttea","Monttea aphylla","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",250,54,18,15.5,6,1,"shrub","Perennial",1.5,"no",0,51758.0822,0.0103385604274062
"Morinda citrifolia","Gentianales","Rubiaceae","Morinda","Morinda citrifolia","Hermaphrodite","self_compatible","low",10.5812083333333,"Tube","actinomorphic",1200,50,10,15,15,2,"tree","Perennial",6.5,"yes",3.3,63132.3175,0.00828991247785124
"Morinda umbellata","Gentianales","Rubiaceae","Morinda","Morinda umbellata","Dioecious","partially_self_compatible","low",10.52325,"Tube","actinomorphic",500,10,2.2,2.2,2,2,"vine","Perennial",10,"yes",1.49,145590.4096,0.00835101912592399
"Commelina nudiflora","Commelinales","Commelinaceae","Murdannia","Murdannia nudiflora","Hermaphrodite","self_compatible","high",96,"Open","actinomorphic",15,9,9,1.5,0.9,6,"herb","Short lived",0.15,"no",0,34600.36725,0.000144324796805828
"Musa balbisiana","Zingiberales","Musaceae","Musa","Musa balbisiana","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,100,10,40,40,250,"herb","Perennial",4,"yes",52.5,3364306.627,0.000161709798444447
"Mycelis muralis","Asterales","Asteraceae","Mycelis","Mycelis muralis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",70,7.5,7.5,13.5,13.5,5,"herb","Perennial",0.55,"yes",1.550905,4325,0.0284895174864751
"Myrsine segttinii","Ericales","Primulaceae","Myrsine","Myrsine seguinii","Hermaphrodite","partially_self_compatible","low",9.7811,"Open","actinomorphic",3500,15,3,1,1,3,"tree","Perennial",7,"no",0,153400.8135,0.00521034142149438
"Mirtus communis","Myrtales","Myrtaceae","Myrtus","Myrtus communis","Hermaphrodite","self_compatible","medium",49,"Open","actinomorphic",500,25,25,3.75,15,72,"shrub","Perennial",2.5,"no",0,1330295,0.000795452039514552
"Nelumbo lutea","Proteales","Nelumbonaceae","Nelumbo","Nelumbo lutea","Hermaphrodite","self_compatible","low",18.3,"Open","actinomorphic",1,150,150,40,0.5,24.9,"herb","Perennial",1.35,"no",0,1e+06,0.000576434333373683
