sp,GenT,H,La,GrowSSD,RepSSD,S,R,Kingdom,Sessi
Taraxacum erythrospermum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Taxus brevifolia,114.0256289,1.685836857,26.75757576,0.009874816,0.006754641,3.125717493,Terrestrial,Plantae,Sessile
Taxus floridana,119.725623,0.336987701,14.20554517,0.102092741,0.071926,0.020812895,Terrestrial,Plantae,Sessile
Telipogon helleri,10.15031404,0.679687631,2.183151917,0.226200924,0.088685864,0.586956817,Terrestrial,Plantae,Sessile
Tetraberlinia bifoliolata,55.96295864,1.449519222,77.41310705,0.096118967,0.08921653,3.550204118,Terrestrial,Plantae,Sessile
Tetramolopium arenarium,25.88647244,0.852987808,4.87398374,0.226942084,0.022431927,0.058443857,Terrestrial,Plantae,Sessile
Thalassarche melanophrys,23.35509528,0.342590649,10.31163097,0.034935626,0.002686648,0.142305211,Terrestrial,Animalia,Mobile
Thalia democratica,NA,NA,1,NA,NA,NA,Aquatic,Animalia,Sessile
Thelesperma megapotamicum,1.139102053,0.066498449,1,0.5,0.462068966,0.062711294,Terrestrial,Plantae,Sessile
Thlaspi perfoliatum,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Thrinax radiata,58.49745391,1.881944755,74.06167915,0.02146891,0.04101964,2.305129418,Terrestrial,Plantae,Sessile
Thymus loscosii,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Thymus vulgaris,201.6626207,0.306007982,26.97402597,0.296353286,0.001195843,0.754928651,Terrestrial,Plantae,Sessile
Tillandsia brachycaulos,17.12990947,0.727435409,3.694636696,0.350588943,0.011197863,0.088411022,Terrestrial,Plantae,Sessile
Tillandsia deppeana,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Tillandsia juncea,32.50192102,1.098626712,11.46134321,0.07856444,0.081315714,0.27099946,Terrestrial,Plantae,Sessile
Tillandsia macdougallii,39.45708161,1.473885158,7.999250091,0.107708794,0.006464316,0.093643219,Terrestrial,Plantae,Sessile
Tillandsia multicaulis,19.52391747,1.126150294,6.319914489,0.067779287,0.070769368,0.824733669,Terrestrial,Plantae,Sessile
Tillandsia punctulata,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Tillandsia recurvata,11.1737711,0.782125142,2.882845188,0.099145164,0.072517082,1.119506285,Terrestrial,Plantae,Sessile
Tillandsia violacea,53.10509101,0.962409694,13.79928753,0.038461628,0.008130273,0.09869846,Terrestrial,Plantae,Sessile
Torreya taxifolia,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Tradescantia brevifolia,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Tradescantia fluminensis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Tradescantia zebrina,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Tragopogon dubius,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Tragopogon pratensis,NA,0.275995877,3.152871308,0.179046678,0.13968311,0,Terrestrial,Plantae,Sessile
Trichosurus caninus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Trillium apetalon,42.48090902,1.173462454,9.801120448,0.125202161,0.102908108,0.53905822,Terrestrial,Plantae,Sessile
Trillium camschatcense,224.5578757,0.85627487,9.155768208,0.129021906,0.09354187,0.104712585,Terrestrial,Plantae,Sessile
Trillium grandiflorum,40.08270345,1.285993457,16.11373665,0.114516179,0.07848838,0.509865098,Terrestrial,Plantae,Sessile
Trillium ovatum,53.18008233,1.041313094,33.44121685,0.047512367,0.041941885,0.206939843,Terrestrial,Plantae,Sessile
Trillium persistens,11.5687743,1.097480463,6.430702651,0.170169049,0.089488116,0.530734419,Terrestrial,Plantae,Sessile
Trollius laxus,59.52737886,1.07137291,2,0.108151292,0.000617566,0.046150577,Terrestrial,Plantae,Sessile
Tsuga canadensis,180.9834264,1.370403203,36.75457097,0.00235774,0.014213758,2.123654069,Terrestrial,Plantae,Sessile
Turdus torquatus,3.309780812,0.071114427,2,0.5,0.232877454,0.126175992,Terrestrial,Animalia,Mobile
Tympanuchus cupido,2.71730784,NA,2,0.142664794,0.132332051,0.408470981,Terrestrial,Animalia,Mobile
Ulex gallii,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Ulex minor,16.7463151,0.423577789,1,0.004110326,0.060139548,6.783614264,Terrestrial,Plantae,Sessile
Umbonium costatum,5.29925782,0.688498785,2.064028087,0.160048784,0.075684747,0.78966939,Aquatic,Animalia,Sessile
Urocitellus armatus,1.448003429,NA,1,0.138646416,0.103714286,0.153856283,Terrestrial,Animalia,Mobile
Urocitellus beldingi,3.341096919,NA,2,0.062452055,0.043200699,0.512120874,Terrestrial,Animalia,Mobile
Urocitellus columbianus,4.290074398,0.544266739,3,0.25,0.067230851,0.19376793,Terrestrial,Animalia,Mobile
Urocyon littoralis,3.723854928,0.337533464,2,0.333333333,0.098573796,0.205474416,Terrestrial,Animalia,Mobile
Ursus americanus,6.125305426,0.566009912,4,0.25,0.046681202,0.050498238,Terrestrial,Animalia,Mobile
Ursus arctos,8.649675127,0.448051247,4,0.092125281,0.019061282,0.1705225,Terrestrial,Animalia,Mobile
Ursus maritimus,18.49067053,0.401289946,8.569836512,0.081356344,0.008339539,0.027668546,Aquatic,Animalia,Mobile
Vatica mangachapoi,46.76255551,0.275111231,22.68703266,0.073999108,0.062250199,0.406967785,Terrestrial,Plantae,Sessile
Vella pseudocytisus,9.612355767,0.851659879,4.930431365,0.043150929,0.030083278,1.054249789,Terrestrial,Plantae,Sessile
Verbascum fontqueri,2.081623914,0.19401725,2,0.209448442,0.186916999,0.216833917,Terrestrial,Plantae,Sessile
Verbascum thapsus,NA,NA,2,NA,NA,NA,Terrestrial,Plantae,Sessile
Vermivora chrysoptera,2.081685452,0.211658799,1,0.5,0.225297545,0.167065688,Terrestrial,Animalia,Mobile
Veronica arvensis,NA,NA,2.612903226,NA,NA,NA,Terrestrial,Plantae,Sessile
Verticordia fimbrilepis,11.90073491,0.624598811,3.64365549,0.058708586,0.023531497,0.183612708,Terrestrial,Plantae,Sessile
Verticordia staminosa,185.6910318,0.674324366,7.185458663,0.075088237,0.064153839,0.137787916,Terrestrial,Plantae,Sessile
Viburnum furcatum,378.6452061,1.924425799,14.42506135,0.058761186,0.000983163,0.036624994,Terrestrial,Plantae,Sessile
Viola elatior,6.096028319,0.686019359,4.000091201,0.103357501,0.047577081,0.436645193,Terrestrial,Plantae,Sessile
Viola pumila,7.544963863,0.664554406,4.387882734,0.108009107,0.04385324,0.139170484,Terrestrial,Plantae,Sessile
Viola sagittata,7.168808651,0.486140869,2.666666667,0.064295046,0.06260337,0.365285842,Terrestrial,Plantae,Sessile
Vipera aspis,8.9911587,0.654384852,5,0.2,0.060840148,0.040890704,Terrestrial,Animalia,Mobile
Vireo atricapilla,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Vireo latimeri,2.256600784,0.27840509,1,0.5,0.365,0.267825387,Terrestrial,Animalia,Mobile
Vochysia ferruginea,34.37325471,0.572669701,6.909156807,0.012377947,0.181669309,0.639051683,Terrestrial,Plantae,Sessile
Vriesea sanguinolenta,16.20954626,1.015074541,12.16186792,0.051514944,0.04672525,0.780534722,Terrestrial,Plantae,Sessile
Xenosaurus grandis,5.140938506,0.712349961,3.546887299,0.189170008,0.116194096,0.508422943,Terrestrial,Animalia,Mobile
Xenosaurus platyceps,6.299080734,0.958020921,4.065758847,0.142338669,0.112455184,0.689841648,Terrestrial,Animalia,Mobile
Xestospongia muta,22.65332595,0.934304747,4.434131623,0.10929487,0.002796349,0.409600519,Aquatic,Animalia,Sessile
Yoldia notabilis,8.130937884,0.150422441,5,0.1,0.227929759,4.084761065,Aquatic,Animalia,Sessile
Zalophus californianus,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Zamia amblyphyllidia,NA,NA,32.56312643,NA,NA,NA,Terrestrial,Plantae,Sessile
Zamia inermis,289.5184178,1.751285871,35.16990689,0.00491229,1.24E-05,0.000179314,Terrestrial,Plantae,Sessile
Zea diploperennis,12.10819446,0.660502855,3.040816327,0.0016031,0.086844125,2.159736969,Terrestrial,Plantae,Sessile
Zingel asper,2.876291559,0.277258872,2,0.5,0.325693909,0.267498887,Aquatic,Animalia,Mobile
Zoarces viviparus,4.205185601,NA,3,0.099919781,0.10583153,0.314657456,Aquatic,Animalia,Mobile
Zootoca vivipara,1.962629084,0.390221704,1,0.135566956,0.059778219,0.353018647,Terrestrial,Animalia,Mobile
